NUMBER	MODULES	COLOR
1	grey60_hx	#FF9F7F
2	red_hx	#FFB97F
3	red_meta	#FFD47F
4	lightcyan_meta	#FFEE7F
5	grey60_feces	#F6FF7F
6	darkgrey_feces	#DCFF7F
7	darkgrey_serum	#C2FF7F
8	green_serum	#A8FF7F
9	cyan_serum	#9FFF96
10	brown_hx	#A4FFB9
11	ivory_hx	#ABFFDC
12	lightcyan1_hx	#B2FFFF
13	brown4_hx	#B2EAFF
14	salmon_hx	#B2D5FF
15	lightpink4_hx	#B2C0FF
16	DEG_feces	#B9B2FF
17	DEG_serum	#CEB2FF
18	DEG_fx	#E3B2FF
19	DEG_hx	#F8B2FF
20	GWAS_hx	#FFAEE8
