"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Biosynthesis of unsaturated fatty acids",36,0.095618,2,0.0032358,2.49,0.27181,0.27181,0
"alpha-Linolenic acid metabolism",13,0.034529,1,0.034118,1.467,1,1,0
"Pantothenate and CoA biosynthesis",19,0.050465,1,0.049566,1.3048,1,1,0.02143
"beta-Alanine metabolism",21,0.055777,1,0.054674,1.2622,1,1,0.39925
"Propanoate metabolism",23,0.061089,1,0.059762,1.2236,1,1,0
"Pyrimidine metabolism",39,0.10359,1,0.099726,1.0012,1,1,0
