"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Purine metabolism",65,0.20968,3,0.00066343,3.1782,0.055728,0.055728,0.02357
"Pyrimidine metabolism",39,0.12581,2,0.0058826,2.2304,0.48826,0.24707,0.11715
