"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Steroid biosynthesis",42,0.10839,3,7.2729e-05,4.1383,0.0061093,0.0061093,0
"Butanoate metabolism",15,0.03871,1,0.038188,1.4181,1,1,0
