"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Biosynthesis of unsaturated fatty acids",36,0.21514,4,3.1904e-05,4.4962,0.00268,0.00268,0
"alpha-Linolenic acid metabolism",13,0.077689,2,0.0023945,2.6208,0.19874,0.10057,0.33333
"Linoleic acid metabolism",5,0.02988,1,0.029564,1.5292,1,0.8278,1
"Glycerolipid metabolism",16,0.095618,1,0.091887,1.0367,1,1,0.23676
"Galactose metabolism",27,0.16135,1,0.15063,0.8221,1,1,0
"Arginine and proline metabolism",38,0.22709,1,0.20596,0.68621,1,1,0
"Fatty acid biosynthesis",47,0.28088,1,0.24883,0.60409,1,1,0
"Purine metabolism",66,0.39442,1,0.33264,0.47803,1,1,0.00459
