"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Steroid biosynthesis",42,0.083665,2,0.0022388,2.65,0.18806,0.18806,0
"Thiamine metabolism",7,0.013944,1,0.013889,1.8573,1,0.58333,0
