,ID2,ID8,ID14,ID20,ID26,ID32,ID38,ID44,ID50,ID56,ID62,ID68,ID74,ID80,ID86,ID92,ID98,ID104,ID110,ID116
ENSMUSG00000108076,0,2.302585093,1.945910149,0,2.197224577,0,0,0,0,0,2.564949357,2.833213344,0,0,2.397895273,0,0,2.995732274,0,1.098612289
ENSMUSG00000108077,5.303304908,3.970291914,3.555348061,3.465735903,4.48863637,3.135494216,3.970291914,3.931825633,3.871201011,4.077537444,3.496507561,2.48490665,2.708050201,4.304065093,4.094344562,4.17438727,4.290459441,4.624972813,4.158883083,4.189654742
ENSMUSG00000108086,0,0,0,0,0,0,0,0,0.693147181,0,0,0,0,0,0,0,0,0.693147181,0,0
ENSMUSG00000108088,3.951243719,3.828641396,4.276666119,3.496507561,3.80666249,3.828641396,3.401197382,4.189654742,3.891820298,3.401197382,4.127134385,3.688879454,1.098612289,2.48490665,3.80666249,4.025351691,3.988984047,4.060443011,2.944438979,3.850147602
ENSMUSG00000108095,0,0,0,0,0,0,0,1.609437912,0,0,0,0,0,0,1.945910149,0,0,0,0,1.098612289
ENSMUSG00000108101,0,0,2.772588722,0,0,0,0,0,0,0,0,1.791759469,0,0,1.098612289,0,0,0,0,2.397895273
ENSMUSG00000108102,0,0,2.48490665,0,1.609437912,0,2.079441542,0,0,0,0,0,0,0,2.708050201,0,0,0,0,0
ENSMUSG00000108120,0,2.708050201,0.693147181,0,0,0,0,1.098612289,0,0,3.401197382,2.708050201,0,0,1.945910149,0.693147181,0,3.33220451,0,1.945910149
ENSMUSG00000108122,0,0,0,0,2.302585093,0,0,0,0,0,0,0,0,0,2.48490665,2.302585093,3.258096538,0,2.890371758,2.397895273
ENSMUSG00000108123,3.526360525,3.33220451,2.197224577,2.48490665,2.397895273,0,3.091042453,3.135494216,3.891820298,0,3.044522438,0,0,0,1.098612289,0,0,2.995732274,0.693147181,2.079441542
ENSMUSG00000108126,0,0,1.609437912,1.609437912,0,0,0.693147181,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000108132,0,0,0,0,0,2.995732274,0,0,0,0,0,0,0,0,1.386294361,0,0,0,0,0
ENSMUSG00000108137,1.386294361,1.791759469,0.693147181,0,1.098612289,0,0,2.63905733,0,0,0,0,0,0,0,0,0,0,1.945910149,1.098612289
ENSMUSG00000108145,0,0,0,0,0,0,0,0,2.302585093,0,0,0,0,0,0,0,0,1.098612289,0,0
ENSMUSG00000108146,3.871201011,3.931825633,3.044522438,3.526360525,3.63758616,4.317488114,3.465735903,3.17805383,2.890371758,3.713572067,4.477336814,1.098612289,3.63758616,2.708050201,4.007333185,3.401197382,0,3.737669618,0,2.944438979
