,ID2,ID8,ID14,ID20,ID26,ID32,ID38,ID44,ID50,ID56,ID62,ID68,ID74,ID80,ID86,ID92,ID98,ID104,ID110,ID116
ENSMUSG00000049091,0.693147181,3.713572067,4.043051268,3.218875825,2.708050201,0,3.526360525,2.197224577,2.48490665,3.044522438,2.564949357,3.401197382,2.197224577,2.890371758,1.609437912,3.258096538,3.465735903,3.36729583,3.044522438,2.197224577
ENSMUSG00000049092,0,0,1.386294361,1.609437912,0,3.401197382,2.197224577,2.397895273,0,2.197224577,0.693147181,2.48490665,2.63905733,0,2.890371758,2.708050201,0,2.079441542,0,2.302585093
ENSMUSG00000049097,4.17438727,4.836281907,4.276666119,4.510859507,4.795790546,5.023880521,4.158883083,4.304065093,4.605170186,4.248495242,4.477336814,4.418840608,4.094344562,4.49980967,4.094344562,3.828641396,4.127134385,4.356708827,4.510859507,4.96284463
ENSMUSG00000049100,5.438079309,5.857933154,5.283203729,5.613128106,5.308267697,5.509388337,5.513428746,5.713732806,5.762051383,5.393627546,5.707110265,5.402677382,5.384495063,5.700443573,5.398162702,5.620400866,5.493061443,5.451038454,5.459585514,5.771441123
ENSMUSG00000049103,0,0,0,0,1.609437912,0,0,0,0,0,0,0,0.693147181,0,0,0,0,0,0.693147181,0
ENSMUSG00000049106,4.852030264,4.718498871,4.33073334,4.844187086,4.779123493,4.718498871,4.795790546,4.919980926,4.709530201,4.521788577,4.912654886,4.48863637,4.33073334,4.787491743,4.510859507,3.737669618,4.682131227,3.555348061,4.634728988,4.553876892
ENSMUSG00000049107,0,1.945910149,0,1.791759469,0,0,2.197224577,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000049112,0,0,2.833213344,0,3.737669618,2.48490665,1.609437912,0,2.995732274,1.791759469,1.791759469,0,1.386294361,2.397895273,0,0,0,2.302585093,1.098612289,1.791759469
ENSMUSG00000049115,0,0,0,0,0,0,0,0,0.693147181,0,0,0,1.098612289,0,0,0,0,0,0,1.098612289
ENSMUSG00000049119,4.919980926,4.934473933,3.17805383,4.787491743,4.262679877,5.135798437,3.828641396,4.477336814,4.48863637,4.110873864,4.406719247,4.356708827,4.477336814,3.912023005,4.356708827,5.010635294,4.317488114,3.465735903,4.736198448,4.682131227
ENSMUSG00000049122,0,2.197224577,2.397895273,3.828641396,2.63905733,3.17805383,0,3.091042453,3.951243719,2.397895273,3.135494216,2.079441542,1.609437912,3.63758616,1.791759469,1.791759469,0,3.737669618,3.850147602,2.079441542
ENSMUSG00000049123,0,0,0,0,0,0,0,0,0,1.791759469,0,0,0,0,0,0,0,1.386294361,0,0
ENSMUSG00000049124,0,0,0.693147181,0.693147181,0,2.079441542,0,0,0.693147181,0.693147181,2.079441542,0,1.098612289,0.693147181,0,0,0,0.693147181,1.098612289,1.098612289
ENSMUSG00000049134,0,0,0,0,0,0,0,0,1.791759469,0,0,0,0,0,0,0,0,0,1.098612289,0
ENSMUSG00000049148,1.945910149,4.262679877,4.234106505,4.276666119,4.521788577,4.465908119,4.532599493,3.713572067,4.406719247,3.80666249,3.713572067,3.63758616,3.688879454,1.791759469,3.044522438,2.890371758,3.663561646,4.060443011,4.143134726,4.406719247
ENSMUSG00000049154,0,3.091042453,0.693147181,0,3.17805383,0,2.995732274,1.791759469,1.609437912,2.63905733,1.386294361,2.995732274,0,0,1.791759469,3.044522438,1.098612289,0,0,2.63905733
ENSMUSG00000049164,3.610917913,1.791759469,1.098612289,0,2.564949357,2.079441542,0.693147181,2.197224577,2.397895273,2.302585093,0.693147181,2.079441542,1.791759469,0.693147181,1.609437912,1.386294361,4.454347296,1.098612289,3.871201011,2.890371758
ENSMUSG00000049176,1.945910149,0,3.091042453,2.48490665,2.63905733,0,2.772588722,2.890371758,3.258096538,1.791759469,3.218875825,1.791759469,2.708050201,2.079441542,1.386294361,2.48490665,2.708050201,1.386294361,3.970291914,3.663561646
ENSMUSG00000049184,2.079441542,4.262679877,4.454347296,3.891820298,3.970291914,4.007333185,4.158883083,4.356708827,3.63758616,3.091042453,3.828641396,2.944438979,3.33220451,3.713572067,3.496507561,4.025351691,3.970291914,3.988984047,4.442651256,4.369447852
ENSMUSG00000049191,2.995732274,3.555348061,3.36729583,3.044522438,3.135494216,1.098612289,1.386294361,2.944438979,2.564949357,1.945910149,2.564949357,2.772588722,2.197224577,0.693147181,2.48490665,0.693147181,0,2.772588722,0,2.995732274
ENSMUSG00000049225,4.204692619,4.454347296,4.727387819,4.718498871,4.812184355,4.49980967,4.983606622,5.135798437,4.672828834,4.025351691,4.605170186,4.477336814,4.753590191,4.634728988,4.394449155,4.744932128,4.262679877,4.158883083,4.836281907,4.127134385
ENSMUSG00000049230,0,0,0,0,3.496507561,0,0,2.397895273,3.135494216,0.693147181,2.48490665,0.693147181,0,0.693147181,2.48490665,1.609437912,0,0,1.098612289,0
ENSMUSG00000049232,3.713572067,4.356708827,3.912023005,4.248495242,3.610917913,3.850147602,3.610917913,4.276666119,3.951243719,3.713572067,4.624972813,3.526360525,3.970291914,3.737669618,3.496507561,3.433987204,4.356708827,2.197224577,3.091042453,4.189654742
ENSMUSG00000049233,0.693147181,2.48490665,0,0,1.386294361,0,0,0,0,0,0,0,0,0,0,0.693147181,0,0,0,0.693147181
ENSMUSG00000049241,0,0,0,0,0,0,0,0,1.386294361,0,0.693147181,0,0,0,0,0,0,0,0,0
ENSMUSG00000049252,4.955827058,5.493061443,4.804021045,5.099866428,5.455321115,5.438079309,5.176149733,5.003946306,4.990432587,5.225746674,5.308267697,4.49980967,5.267858159,5.476463552,4.875197323,4.634728988,5.135798437,5.198497031,5.38907173,4.859812404
ENSMUSG00000049265,3.465735903,4.394449155,4.060443011,4.48863637,4.672828834,4.304065093,4.454347296,4.820281566,4.248495242,4.49980967,4.574710979,4.143134726,4.644390899,3.80666249,4.234106505,4.143134726,4.553876892,4.060443011,3.36729583,4.143134726
ENSMUSG00000049281,3.80666249,4.605170186,3.951243719,4.820281566,3.828641396,4.753590191,4.634728988,3.850147602,4.369447852,4.204692619,4.574710979,4.59511985,3.970291914,4.718498871,3.713572067,3.951243719,3.663561646,3.828641396,4.718498871,4.624972813
ENSMUSG00000049285,2.48490665,3.526360525,2.708050201,1.098612289,2.079441542,0,2.197224577,0,2.708050201,2.197224577,0,0,1.791759469,0,0.693147181,0,2.833213344,1.386294361,3.526360525,1.386294361
ENSMUSG00000049287,0,2.197224577,0,0.693147181,3.433987204,2.772588722,0.693147181,2.890371758,2.48490665,3.465735903,3.218875825,2.302585093,2.63905733,0.693147181,2.197224577,2.197224577,4.060443011,3.496507561,0,2.944438979
ENSMUSG00000049288,2.079441542,3.091042453,3.526360525,2.944438979,2.890371758,3.761200116,1.945910149,3.610917913,2.833213344,2.944438979,2.48490665,1.609437912,2.48490665,2.890371758,1.945910149,3.433987204,2.833213344,2.079441542,2.708050201,3.135494216
ENSMUSG00000049291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181,0,0,0,0.693147181,0
ENSMUSG00000049295,3.465735903,3.258096538,3.713572067,3.713572067,4.343805422,3.688879454,4.17438727,3.36729583,4.094344562,3.891820298,4.234106505,4.219507705,3.970291914,3.784189634,3.044522438,3.17805383,3.218875825,2.302585093,3.135494216,4.262679877
ENSMUSG00000049299,4.510859507,4.262679877,3.17805383,4.553876892,4.17438727,3.218875825,4.442651256,4.143134726,4.043051268,4.007333185,4.718498871,3.36729583,4.234106505,3.135494216,3.465735903,4.33073334,2.833213344,3.891820298,4.248495242,4.189654742
